SL_NO,PLAYER_NAME,COUNTRY,ROLE,BASE PRICE,RATING,BAT,PWR,BWL,TEC,CLT,SET_NO
1,MS DHONI,INDIA,WICKET KEEPER,200,93,94,93,20,87,96,1
2,ROHIT SHARMA,INDIA,BATSMAN,200,94,95,94,43,90,95,1
3,VIRAT KOHLI,INDIA,BATSMAN,200,96,97,89,28,98,99,1
4,R ASHWIN,INDIA,ALL ROUNDER,200,90,58,54,94,97,91,1
5,TRENT BOULT,NEW ZEALAND,BOWLER,200,91,34,40,94,93,90,1
6,PAT CUMMINS,AUSTRALIA,BOWLER,200,91,65,82,91,88,94,1
7,KAGISO RABADA,SOUTH AFRICA,BOWLER,200,92,38,45,96,92,91,1
8,DAVID WARNER,AUSTRALIA,BATSMAN,200,94,96,93,30,92,96,1
9,JASPRIT BUMRAH,INDIA,BOWLER,200,96,24,30,99,99,97,1
10,QUINTON DE KOCK,SOUTH AFRICA,WICKET KEEPER,200,91,91,92,12,87,88,1
11,RAVINDRA JADEJA,INDIA,ALL ROUNDER,200,92,82,80,92,94,94,1
12,MITCHELL STARC,AUSTRALIA,BOWLER,200,93,42,52,95,92,95,1
13,SHREYAS IYER,INDIA,BATSMAN,200,90,90,92,18,88,90,1
14,KANE WILLIAMSON,NEW ZEALAND,BATSMAN,200,90,92,83,30,98,92,1
15,MOHAMMAD SHAMI,INDIA,BOWLER,200,91,32,44,95,93,92,1
16,AJINKYA RAHANE,INDIA,BATSMAN,200,85,87,83,18,91,85,1
17,PRITHVI SHAW,INDIA,BATSMAN,150,79,84,88,5,79,70,1
18,NITISH RANA,INDIA,BATSMAN,100,82,84,86,49,80,80,1
19,DEVDUTT PADIKKAL,INDIA,BATSMAN,100,81,82,77,7,85,79,1
20,DEWALD BREVIS,SOUTH AFRICA,BATSMAN,150,82,82,91,20,75,72,1
21,JITESH SHARMA,INDIA,WICKET KEEPER,150,81,81,89,4,73,79,1
22,RIYAN PARAG,INDIA,ALL ROUNDER,150,83,83,88,40,79,81,1
23,SHASHANK SINGH,INDIA,BATSMAN,50,84,84,89,43,76,85,2
24,SHIMRON HETMYER,WEST INDIES,BATSMAN,200,83,82,88,35,74,86,2
25,SUYASH PRABHUDESAI,INDIA,BATSMAN,50,69,68,64,30,70,64,2
26,RAHUL TRIPATHI,INDIA,BATSMAN,100,79,81,83,32,78,80,2
27,RAJAT PATIDAR,INDIA,BATSMAN,200,85,86,88,30,87,83,2
28,MAYANK AGGARWAL,INDIA,BATSMAN,100,80,80,81,30,83,76,2
29,ANMOLPREET SINGH,INDIA,BATSMAN,50,68,65,70,30,68,61,2
30,YASHASVI JAISWAL,INDIA,BATSMAN,200,90,90,91,39,87,89,2
31,RILEE ROSSOUW,SOUTH AFRICA,BATSMAN,150,82,83,88,18,76,74,2
32,SIMARJEET SINGH,INDIA,BOWLER,50,69,21,24,72,68,63,3
33,MUKESH KUMAR,INDIA,BOWLER,100,76,20,22,79,77,72,3
34,JOSHUA LITTLE,IRELAND,BOWLER,100,77,28,32,83,81,75,3
35,NOOR AHMED,AFGHANISTAN,BOWLER,150,83,24,28,89,88,80,3
36,SPENCER JHONSON,AUSTRALIA,BOWLER,100,77,22,26,82,79,71,3
37,MATT HENREY,NEW ZEALAND,BOWLER,100,83,31,28,86,85,84,3
38,CHETAN SAKARIA,INDIA,BOWLER,50,72,18,16,75,74,70,3
39,VAIBHAV ARORA,INDIA,BOWLER,100,74,14,12,78,76,73,3
40,NAVEEN UL HAQ,AFGHANISTAN,BOWLER,100,78,20,18,81,80,80,3
41,SHIVAM MAVI,INDIA,BOWLER,50,74,24,26,77,75,72,3
42,NUWAN TUSHARA,SRI LANKA,BOWLER,100,79,16,14,83,84,78,3
43,LUKE WOOD,ENGLAND,BOWLER,100,75,22,24,79,77,73,3
44,JAYDEV UNADKAT,INDIA,BOWLER,150,78,24,23,80,81,76,3
45,VIJAYAKANTH VIYASKANTH,SRI LANKA,BOWLER,20,71,22,20,78,79,73,3
46,AKASH SINGH,INDIA,BOWLER,20,69,18,17,72,71,68,3
47,TOM CURRAN,ENGLAND,BOWLER,100,77,48,50,80,79,79,3
48,AKASH DEEP,INDIA,BOWLER,100,79,28,31,81,80,76,3
49,NANDRE BURGER,SOUTH AFRICA,BOWLER,100,80,19,18,83,81,78,3
50,KESHAV MAHARAJ,SOUTH AFRICA,BOWLER,100,83,34,28,87,89,86,3
